dataset,task,C,AUROC,Accuracy,Error,alpha,R2,1-R2
bank-full,cls,0.03162277660168379,0.8355202853503843,0.8894098911793329,0.11059010882066711,,,
bank,cls,0.1,0.8236494252873563,0.8867757629367536,0.11322423706324636,,,
bank-additional-full,cls,31.622776601683793,0.9235029017107405,0.9076915606487327,0.09230843935126731,,,
bank-additional,cls,0.03162277660168379,0.922361297420407,0.908252427184466,0.09174757281553403,,,
TCGA_InfoWithGrade,cls,1.0,0.9273006706408347,0.8714285714285714,0.12857142857142856,,,
winequality-red,reg,,,,,0.016681005372000592,0.3246325027130478,0.6753674972869522
winequality-white,reg,,,,,0.004641588833612782,0.2613051023348736,0.7386948976651264
diabetes,cls,31.622776601683793,0.8362388059701493,0.7578125,0.2421875,,,
spotify,reg,,,,,10.0,0.09602350824252626,0.9039764917574737
