k,cv_AUROC,test_AUROC,test_acc
1,0.817028846153846,0.8137289272030651,0.8845643520566121
2,0.8272788461538463,0.8223793103448277,0.8850066342326405
3,0.8373557692307692,0.8233180076628354,0.8850066342326405
4,0.8381442307692307,0.8226293103448276,0.8872180451127819
5,0.8397499999999999,0.8229952107279693,0.8876603272888103
7,0.8405769230769231,0.8239865900383142,0.8867757629367536
